Year,Current Course,Technical Skill,Programming Languages,Rating(technical and programming),Projects,Career Interest,Challenges,Support-required,Student-Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,Soft Skills,Rating(soft skills),Score,Recommended Job
1st,B.Sc Computer Science,Embedded Systems,JavaScript TypeScript Python,4,No,Cybersecurity Analyst,Time management,Mentorship programs,14,8,18,20,17,16,14,18,Collaboration Empathy Teamwork,4,141,AI Engineer
1st,M.Sc Data Science,Cloud Infrastructure,Java Kotlin Swift,5,No,Business Analyst,Procrastination,Online resources,13,6,20,16,16,8,13,19,Communication Adaptability Problem-Solving,4,129,AI Engineer
2nd,B.Tech CSE,Penetration Testing,PHP JavaScript MySQL,3,No,Cloud Architect,Interview anxiety,Mentorship programs,15,8,19,15,19,17,13,6,Leadership Creativity Critical-Thinking,1,120,Cybersecurity Analyst
4th,B.Tech CSE,DevOps,Scala Java Python,1,No,AI Engineer,Procrastination,Peer groups,19,15,20,13,11,11,10,5,Decision-Making Flexibility Innovation,1,108,Software Engineer
2nd,M.Sc Data Science,Deep Learning,Scala Java Python,1,Yes,AI Engineer,Presentation skills,Online resources,14,19,11,12,18,18,20,19,Presentation Skills Public Speaking,1,135,Data Scientist
3rd,MBA,Cloud Infrastructure,Python Java C++,4,Yes,Data Scientist,Interview anxiety,Internships,16,19,18,17,15,11,19,12,Time-Management Resilience Negotiation,5,145,Cloud Architect
1st,B.Sc Computer Science,NLP,MATLAB Python C,5,No,Data Scientist,Lack of resources,Internships,18,17,7,11,14,20,15,7,Collaboration Empathy Teamwork,1,121,Software Engineer
4th,M.Sc Data Science,Cloud Security,Java Kotlin Swift,5,No,Business Analyst,Team collaboration,Online resources,8,10,17,14,9,18,16,12,Time-Management Resilience Negotiation,2,118,Cybersecurity Analyst
3rd,MCA,DevOps,Python Java C++,5,No,Data Scientist,Procrastination,Workshops,11,15,7,20,17,20,14,8,Emotional Intelligence Active Listening,5,132,AI Engineer
2nd,M.Sc Data Science,Data Engineering,R SAS Python,5,Yes,Cloud Architect,Team collaboration,Internships,8,9,8,16,8,11,10,16,Decision-Making Flexibility Innovation,3,102,Business Analyst
1st,MCA,Mobile App Development,R SAS Python,4,Yes,Data Scientist,Interview anxiety,Mentorship programs,14,10,15,10,13,18,20,8,Leadership Creativity Critical-Thinking,3,122,Cybersecurity Analyst
2nd,MBA,Mobile App Development,PHP JavaScript MySQL,3,Yes,Cloud Architect,Interview anxiety,Online resources,11,5,17,13,14,14,16,19,Decision-Making Flexibility Innovation,2,119,Software Engineer
4th,MBA,Deep Learning,Java Kotlin Swift,3,Yes,Data Scientist,Lack of resources,Mentorship programs,11,20,18,16,19,10,16,6,Communication Adaptability Problem-Solving,5,132,AI Engineer
2nd,MCA,DevOps,C# .NET SQL,4,No,Cloud Architect,Procrastination,Workshops,18,17,5,19,18,18,14,5,Time-Management Resilience Negotiation,2,126,Data Scientist
4th,B.Tech CSE,IoT Applications,C# .NET SQL,3,No,Cloud Architect,Team collaboration,Workshops,14,14,5,18,9,10,19,8,Leadership Creativity Critical-Thinking,5,113,Cybersecurity Analyst
4th,MCA,AI Fundamentals,MATLAB Python C,2,Yes,Software Engineer,Team collaboration,Peer groups,16,16,7,14,17,17,11,7,Decision-Making Flexibility Innovation,1,111,Cybersecurity Analyst
3rd,M.Sc Data Science,Deep Learning,JavaScript TypeScript Python,3,Yes,Cybersecurity Analyst,Lack of resources,Mentorship programs,9,17,10,15,12,13,10,20,Emotional Intelligence Active Listening,3,118,Cybersecurity Analyst
4th,B.Tech CSE,Network Security,R SAS Python,2,Yes,Software Engineer,Team collaboration,Online resources,14,8,7,13,17,9,13,8,Emotional Intelligence Active Listening,5,103,Business Analyst
4th,B.Tech IT,Full Stack Development,R SAS Python,5,Yes,Data Scientist,Interview anxiety,Peer groups,17,7,10,16,8,14,12,10,Leadership Creativity Critical-Thinking,5,114,Software Engineer
2nd,M.Sc Data Science,Network Security,MATLAB Python C,5,No,Cybersecurity Analyst,Time management,Workshops,16,10,15,14,20,8,15,10,Time-Management Resilience Negotiation,4,126,Data Scientist
3rd,B.Sc Computer Science,Full Stack Development,JavaScript TypeScript Python,2,Yes,Business Analyst,Team collaboration,Peer groups,12,18,10,16,8,14,13,13,Communication Adaptability Problem-Solving,4,116,Cybersecurity Analyst
3rd,B.Sc Computer Science,Cloud Infrastructure,Scala Java Python,5,Yes,Cloud Architect,Interview anxiety,Online resources,17,9,17,16,17,20,17,11,Collaboration Empathy Teamwork,4,142,AI Engineer
3rd,B.Tech IT,Blockchain Development,Scala Java Python,3,Yes,Cloud Architect,Lack of resources,Peer groups,13,12,14,19,19,9,13,7,Emotional Intelligence Active Listening,5,122,Cybersecurity Analyst
1st,MBA,Mobile App Development,Scala Java Python,1,Yes,Cybersecurity Analyst,Team collaboration,Mentorship programs,9,7,8,20,16,11,12,6,Time-Management Resilience Negotiation,1,93,Business Analyst
4th,B.Tech IT,AI Fundamentals,Python Java C++,2,No,Cloud Architect,Time management,Workshops,19,14,6,13,20,19,19,5,Emotional Intelligence Active Listening,5,129,Data Scientist
2nd,B.Sc Computer Science,Cloud Security,C# .NET SQL,2,No,Software Engineer,Time management,Peer groups,11,16,18,19,11,12,15,19,Collaboration Empathy Teamwork,1,127,Cloud Architect
3rd,M.Sc Data Science,AI Fundamentals,C# .NET SQL,1,No,Data Scientist,Lack of resources,Online resources,13,5,6,13,13,19,18,20,Conflict Resolution Team Leadership,1,111,Software Engineer
2nd,B.Sc Computer Science,Cloud Security,Julia Python R,5,No,Software Engineer,Time management,Peer groups,13,14,17,11,8,10,10,16,Communication Adaptability Problem-Solving,1,111,Software Engineer
3rd,M.Sc Data Science,AI Fundamentals,C# .NET SQL,3,Yes,Business Analyst,Presentation skills,Internships,10,5,18,14,9,12,12,14,Presentation Skills Public Speaking,1,102,Business Analyst
3rd,MBA,Full Stack Development,PHP JavaScript MySQL,2,No,AI Engineer,Interview anxiety,Internships,13,13,13,20,11,10,12,20,Conflict Resolution Team Leadership,1,118,Cybersecurity Analyst
4th,B.Sc Computer Science,Network Security,PHP JavaScript MySQL,1,No,Business Analyst,Lack of resources,Mentorship programs,13,13,15,18,8,8,10,12,Leadership Creativity Critical-Thinking,1,101,Business Analyst
3rd,MBA,Penetration Testing,R SAS Python,3,Yes,Business Analyst,Interview anxiety,Workshops,15,15,17,10,14,13,18,19,Conflict Resolution Team Leadership,2,131,AI Engineer
1st,B.Tech IT,Data Visualization,C# .NET SQL,4,No,AI Engineer,Lack of resources,Internships,10,10,14,16,17,16,18,7,Time-Management Resilience Negotiation,3,122,Cybersecurity Analyst
4th,B.Sc Computer Science,IoT Applications,C# .NET SQL,4,Yes,Cybersecurity Analyst,Team collaboration,Internships,17,15,17,15,9,16,16,14,Leadership Creativity Critical-Thinking,3,133,AI Engineer
1st,M.Sc Data Science,Deep Learning,Python Go Rust,3,Yes,Software Engineer,Time management,Online resources,9,7,16,17,11,20,11,9,Time-Management Resilience Negotiation,5,116,Software Engineer
1st,MBA,Cloud Security,Scala Java Python,5,No,Business Analyst,Lack of resources,Workshops,10,7,7,17,13,19,14,9,Conflict Resolution Team Leadership,3,112,Cybersecurity Analyst
1st,M.Sc Data Science,Deep Learning,Scala Java Python,5,No,Software Engineer,Lack of resources,Internships,10,17,7,17,13,18,13,7,Collaboration Empathy Teamwork,5,122,Cybersecurity Analyst
1st,M.Sc Data Science,Deep Learning,Python Java C++,5,No,Cybersecurity Analyst,Procrastination,Mentorship programs,9,7,10,17,18,19,16,6,Conflict Resolution Team Leadership,4,120,Software Engineer
4th,B.Tech CSE,Mobile App Development,JavaScript TypeScript Python,3,No,Business Analyst,Time management,Workshops,13,5,13,13,11,9,16,6,Communication Adaptability Problem-Solving,3,98,Business Analyst
4th,B.Tech IT,Mobile App Development,Python Go Rust,4,Yes,Business Analyst,Team collaboration,Peer groups,18,13,19,20,13,11,19,12,Communication Adaptability Problem-Solving,4,141,Cloud Architect
2nd,B.Tech IT,Embedded Systems,Python R SQL,1,No,Business Analyst,Interview anxiety,Internships,9,17,8,16,15,12,18,16,Leadership Creativity Critical-Thinking,5,123,Software Engineer
2nd,B.Sc Computer Science,NLP,R SAS Python,1,Yes,AI Engineer,Interview anxiety,Peer groups,10,11,19,18,20,19,17,15,Decision-Making Flexibility Innovation,3,137,Cloud Architect
1st,B.Tech IT,DevOps,PHP JavaScript MySQL,5,Yes,Software Engineer,Procrastination,Mentorship programs,20,12,18,19,12,19,17,19,Strategic Thinking Analytical Skills,2,150,Cloud Architect
3rd,B.Tech IT,Mobile App Development,C# .NET SQL,3,Yes,Business Analyst,Procrastination,Mentorship programs,11,13,15,14,15,15,13,7,Collaboration Empathy Teamwork,4,117,Cybersecurity Analyst
4th,M.Sc Data Science,Cloud Security,Python Java C++,1,No,AI Engineer,Time management,Internships,18,18,13,20,8,12,18,11,Communication Adaptability Problem-Solving,1,122,Cybersecurity Analyst
2nd,MBA,Business Intelligence,MATLAB Python C,3,Yes,Business Analyst,Team collaboration,Mentorship programs,20,14,18,12,17,16,11,6,Time-Management Resilience Negotiation,2,124,Cybersecurity Analyst
4th,M.Sc Data Science,Penetration Testing,Python R SQL,4,No,Business Analyst,Interview anxiety,Peer groups,10,15,10,17,15,10,18,11,Communication Adaptability Problem-Solving,1,116,Cybersecurity Analyst
3rd,MCA,Cloud Security,MATLAB Python C,1,No,Data Scientist,Lack of resources,Workshops,19,20,15,16,19,19,14,16,Conflict Resolution Team Leadership,2,144,Data Scientist
4th,MCA,Computer Vision,MATLAB Python C,5,Yes,Cybersecurity Analyst,Team collaboration,Internships,13,11,13,13,9,13,16,8,Emotional Intelligence Active Listening,2,110,Cybersecurity Analyst
4th,B.Tech IT,Embedded Systems,R SAS Python,3,Yes,Business Analyst,Presentation skills,Internships,10,19,8,10,20,19,10,5,Decision-Making Flexibility Innovation,2,111,Cybersecurity Analyst
4th,B.Tech CSE,Full Stack Development,Python R SQL,2,Yes,Business Analyst,Team collaboration,Internships,8,5,16,12,19,12,20,9,Leadership Creativity Critical-Thinking,5,115,Cybersecurity Analyst
4th,M.Sc Data Science,Data Visualization,Python Java C++,2,Yes,Cybersecurity Analyst,Team collaboration,Workshops,20,11,16,13,10,16,17,9,Conflict Resolution Team Leadership,1,118,Software Engineer
1st,B.Tech CSE,IoT Applications,MATLAB Python C,4,Yes,Cloud Architect,Interview anxiety,Mentorship programs,18,9,11,10,17,20,20,11,Presentation Skills Public Speaking,2,128,AI Engineer
2nd,B.Tech CSE,Data Visualization,Java Kotlin Swift,5,No,Cybersecurity Analyst,Team collaboration,Workshops,9,11,6,10,20,16,15,15,Strategic Thinking Analytical Skills,5,122,Software Engineer
2nd,B.Tech IT,Full Stack Development,PHP JavaScript MySQL,5,No,Data Scientist,Team collaboration,Peer groups,17,6,5,16,19,11,11,10,Presentation Skills Public Speaking,4,113,Software Engineer
2nd,B.Tech IT,Embedded Systems,Scala Java Python,1,No,Cloud Architect,Lack of resources,Online resources,20,16,6,12,10,14,18,7,Time-Management Resilience Negotiation,1,107,Software Engineer
2nd,B.Tech CSE,Cloud Security,C# .NET SQL,5,Yes,Cybersecurity Analyst,Procrastination,Online resources,19,5,6,18,17,20,19,20,Leadership Creativity Critical-Thinking,4,142,Cloud Architect
4th,B.Tech IT,Data Engineering,MATLAB Python C,5,Yes,Business Analyst,Time management,Peer groups,12,14,9,14,18,20,10,16,Communication Adaptability Problem-Solving,3,129,Data Scientist
4th,B.Sc Computer Science,Mobile App Development,MATLAB Python C,2,Yes,Software Engineer,Lack of resources,Peer groups,12,19,20,19,13,9,14,20,Emotional Intelligence Active Listening,3,136,AI Engineer
4th,B.Tech CSE,Mobile App Development,Julia Python R,2,No,Cybersecurity Analyst,Time management,Internships,9,17,16,13,9,20,12,10,Leadership Creativity Critical-Thinking,4,118,Cybersecurity Analyst
3rd,MCA,Deep Learning,Python Java C++,1,No,Business Analyst,Interview anxiety,Online resources,20,16,13,19,16,14,13,5,Decision-Making Flexibility Innovation,2,122,Cybersecurity Analyst
4th,MBA,AI Fundamentals,MATLAB Python C,2,No,Cybersecurity Analyst,Presentation skills,Workshops,8,13,15,17,19,18,10,17,Communication Adaptability Problem-Solving,1,123,Software Engineer
2nd,B.Sc Computer Science,Deep Learning,Python R SQL,3,Yes,Data Scientist,Interview anxiety,Mentorship programs,17,13,9,14,20,13,18,6,Leadership Creativity Critical-Thinking,2,120,Software Engineer
3rd,MCA,AI Fundamentals,Scala Java Python,3,Yes,Business Analyst,Team collaboration,Mentorship programs,12,10,16,11,16,16,16,20,Collaboration Empathy Teamwork,4,131,Data Scientist
4th,B.Sc Computer Science,Cloud Security,Scala Java Python,4,Yes,Cloud Architect,Team collaboration,Peer groups,15,8,7,11,10,11,14,5,Leadership Creativity Critical-Thinking,3,95,Business Analyst
3rd,B.Tech CSE,Cloud Infrastructure,R SAS Python,2,No,Business Analyst,Team collaboration,Peer groups,14,12,16,18,10,9,12,10,Presentation Skills Public Speaking,3,111,Software Engineer
2nd,B.Sc Computer Science,Full Stack Development,R SAS Python,2,Yes,AI Engineer,Lack of resources,Peer groups,10,6,15,10,14,9,10,16,Decision-Making Flexibility Innovation,5,104,Business Analyst
1st,B.Sc Computer Science,DevOps,Julia Python R,4,Yes,AI Engineer,Procrastination,Mentorship programs,17,13,14,14,15,16,11,7,Collaboration Empathy Teamwork,3,121,Software Engineer
2nd,B.Tech IT,Computer Vision,Python Go Rust,5,No,Data Scientist,Time management,Workshops,10,11,5,10,15,20,19,13,Conflict Resolution Team Leadership,3,119,Software Engineer
3rd,M.Sc Data Science,DevOps,JavaScript TypeScript Python,2,No,Software Engineer,Time management,Online resources,9,7,6,20,8,19,13,5,Leadership Creativity Critical-Thinking,5,101,Business Analyst
4th,B.Tech IT,Mobile App Development,Scala Java Python,1,No,AI Engineer,Presentation skills,Internships,10,5,14,15,16,8,11,11,Decision-Making Flexibility Innovation,5,102,Business Analyst
3rd,B.Tech IT,Embedded Systems,Python Java C++,5,Yes,Cybersecurity Analyst,Presentation skills,Online resources,17,8,5,10,12,12,20,19,Leadership Creativity Critical-Thinking,2,117,Cybersecurity Analyst
3rd,MBA,Blockchain Development,R SAS Python,3,Yes,Data Scientist,Team collaboration,Mentorship programs,17,5,19,16,14,11,13,9,Presentation Skills Public Speaking,3,116,Software Engineer
3rd,B.Tech IT,Blockchain Development,Python Java C++,4,Yes,Cloud Architect,Team collaboration,Workshops,8,18,19,17,19,12,10,8,Presentation Skills Public Speaking,5,129,Data Scientist
4th,MBA,NLP,Python Java C++,5,Yes,AI Engineer,Time management,Internships,13,12,6,16,19,20,17,10,Time-Management Resilience Negotiation,3,129,AI Engineer
4th,B.Sc Computer Science,AI Fundamentals,Java Kotlin Swift,3,No,Cybersecurity Analyst,Time management,Workshops,19,11,20,11,13,12,14,16,Conflict Resolution Team Leadership,4,130,Cloud Architect
1st,B.Tech IT,Data Visualization,Julia Python R,5,No,Data Scientist,Team collaboration,Internships,12,13,13,20,16,9,18,14,Conflict Resolution Team Leadership,4,133,Cloud Architect
4th,M.Sc Data Science,Full Stack Development,Scala Java Python,4,Yes,AI Engineer,Interview anxiety,Peer groups,17,8,10,20,18,18,11,20,Communication Adaptability Problem-Solving,2,134,AI Engineer
2nd,B.Tech IT,IoT Applications,Python Go Rust,4,No,Business Analyst,Procrastination,Online resources,16,11,16,19,17,19,15,18,Time-Management Resilience Negotiation,2,143,Data Scientist
1st,M.Sc Data Science,AI Fundamentals,JavaScript TypeScript Python,5,No,AI Engineer,Lack of resources,Online resources,18,7,16,11,12,18,13,15,Decision-Making Flexibility Innovation,4,128,AI Engineer
4th,B.Sc Computer Science,IoT Applications,Java Kotlin Swift,3,No,Data Scientist,Presentation skills,Online resources,19,13,16,11,15,13,14,11,Time-Management Resilience Negotiation,3,124,Software Engineer
4th,MBA,Embedded Systems,JavaScript TypeScript Python,3,Yes,Data Scientist,Time management,Online resources,8,12,18,14,16,13,16,8,Collaboration Empathy Teamwork,2,115,Software Engineer
2nd,B.Sc Computer Science,Blockchain Development,Java Kotlin Swift,2,Yes,AI Engineer,Interview anxiety,Online resources,15,6,19,18,9,12,19,11,Emotional Intelligence Active Listening,1,115,Software Engineer
2nd,MCA,Deep Learning,PHP JavaScript MySQL,5,Yes,Data Scientist,Procrastination,Online resources,10,12,20,14,12,18,18,17,Conflict Resolution Team Leadership,5,141,Cloud Architect
3rd,MBA,Cloud Infrastructure,C# .NET SQL,1,No,Cloud Architect,Team collaboration,Mentorship programs,13,11,17,16,18,16,14,16,Leadership Creativity Critical-Thinking,3,129,Cloud Architect
1st,B.Tech CSE,Data Visualization,Python Go Rust,3,Yes,Data Scientist,Interview anxiety,Peer groups,16,17,11,17,8,18,10,20,Time-Management Resilience Negotiation,5,133,Data Scientist
1st,MCA,AI Fundamentals,C# .NET SQL,5,Yes,Cloud Architect,Presentation skills,Workshops,8,11,19,10,9,8,18,20,Presentation Skills Public Speaking,1,115,Software Engineer
1st,MCA,NLP,Julia Python R,1,Yes,Cybersecurity Analyst,Team collaboration,Online resources,16,11,9,10,9,20,20,9,Presentation Skills Public Speaking,3,112,Cybersecurity Analyst
4th,M.Sc Data Science,Cloud Security,Julia Python R,1,Yes,AI Engineer,Procrastination,Peer groups,11,10,11,12,12,11,15,16,Conflict Resolution Team Leadership,2,104,Business Analyst
1st,MCA,Data Engineering,Java Kotlin Swift,5,Yes,AI Engineer,Lack of resources,Peer groups,20,18,8,13,20,17,14,12,Collaboration Empathy Teamwork,1,134,Cloud Architect
3rd,B.Sc Computer Science,Cloud Security,Java Kotlin Swift,1,No,Data Scientist,Team collaboration,Workshops,13,18,9,14,20,9,16,12,Collaboration Empathy Teamwork,5,123,Software Engineer
1st,MCA,Mobile App Development,MATLAB Python C,4,Yes,Data Scientist,Time management,Peer groups,16,9,15,17,11,17,14,12,Decision-Making Flexibility Innovation,4,127,AI Engineer
3rd,B.Sc Computer Science,Full Stack Development,C# .NET SQL,3,Yes,AI Engineer,Lack of resources,Mentorship programs,18,20,17,15,20,19,16,11,Collaboration Empathy Teamwork,4,150,AI Engineer
2nd,B.Tech IT,Penetration Testing,Python Go Rust,5,Yes,Cybersecurity Analyst,Procrastination,Mentorship programs,12,5,16,11,12,18,17,13,Presentation Skills Public Speaking,5,124,Software Engineer
4th,B.Tech CSE,Network Security,JavaScript TypeScript Python,4,No,Software Engineer,Interview anxiety,Peer groups,11,13,9,10,11,12,19,9,Emotional Intelligence Active Listening,3,108,Cybersecurity Analyst
1st,MBA,Network Security,JavaScript TypeScript Python,4,No,Cybersecurity Analyst,Presentation skills,Mentorship programs,17,9,20,16,10,9,17,10,Leadership Creativity Critical-Thinking,2,120,Cybersecurity Analyst
1st,M.Sc Data Science,Cloud Infrastructure,Java Kotlin Swift,1,Yes,Software Engineer,Procrastination,Online resources,17,19,18,18,20,20,14,9,Decision-Making Flexibility Innovation,3,143,Data Scientist
